Date,Case_Recovered_Rate,Total_Recovered
2022-05-23,97.366%,5893340
2022-05-30,97.366%,5895176
2022-05-29,97.365%,5894889
2022-05-31,97.365%,5895423
2022-05-28,97.365%,5894628
2022-05-27,97.365%,5894380
2022-05-24,97.365%,5893628
2022-05-26,97.364%,5894103
2022-05-25,97.364%,5893860
2022-06-03,97.363%,5896290
2022-06-02,97.363%,5895940
2022-06-01,97.362%,5895606
2022-06-04,97.36%,5896548
2022-06-05,97.358%,5896752
2022-06-06,97.357%,5897022
2022-06-07,97.354%,5897372
2022-05-22,97.354%,5892411
2022-05-20,97.353%,5891872
2022-05-21,97.352%,5892126
2022-05-19,97.352%,5891574
2022-05-17,97.35%,5890826
2022-05-18,97.35%,5891190
2022-06-08,97.35%,5897630
2022-06-09,97.348%,5898040
2022-06-10,97.343%,5898384
2022-06-11,97.34%,5898758
2022-06-12,97.337%,5899111
2022-05-16,97.337%,5889797
2022-05-15,97.335%,5889534
2022-05-14,97.334%,5889241
2022-06-13,97.334%,5899501
2022-05-12,97.334%,5888571
2022-05-13,97.333%,5888825
2022-06-14,97.328%,5900049
2022-05-11,97.326%,5887786
2022-05-10,97.317%,5886870
2022-06-15,97.317%,5900574
2022-05-09,97.314%,5886211
2022-05-08,97.312%,5885858
2022-05-07,97.308%,5885406
2022-05-06,97.307%,5885099
2022-06-16,97.307%,5901083
2022-05-05,97.305%,5884770
2022-05-04,97.302%,5884325
2022-05-03,97.3%,5884059
2022-06-17,97.296%,5901639
2022-05-02,97.296%,5883664
2022-05-01,97.292%,5883293
2022-04-30,97.286%,5882660
2022-06-18,97.285%,5902162
2022-04-29,97.281%,5882062
2022-04-28,97.278%,5881490
2022-06-19,97.276%,5902794
2022-06-20,97.268%,5903461
2022-04-27,97.265%,5880319
2022-04-26,97.256%,5879141
2022-06-21,97.253%,5904138
2022-06-22,97.232%,5904825
2022-06-23,97.22%,5905971
2022-06-24,97.204%,5906969
2022-04-25,97.198%,5875083
2022-06-25,97.192%,5908043
2022-06-27,97.188%,5910855
2022-06-26,97.184%,5909218
2022-06-28,97.172%,5912025
2022-06-29,97.159%,5913307
2022-07-04,97.158%,5922117
2022-07-03,97.15%,5920249
2022-07-02,97.15%,5918643
2022-06-30,97.15%,5914933
2022-07-01,97.149%,5916854
2022-07-05,97.145%,5923808
2022-07-06,97.134%,5925853
2022-04-24,97.126%,5870419
2022-07-08,97.119%,5930116
2022-07-07,97.119%,5927730
2022-07-09,97.108%,5932089
2022-07-11,97.102%,5935845
2022-07-10,97.098%,5933979
2022-04-23,97.096%,5868251
2022-09-16,97.091%,6218708
2022-09-15,97.08%,6215711
2022-07-12,97.078%,5937625
2022-04-22,97.07%,5866169
2022-09-14,97.059%,6211796
2022-07-13,97.049%,5939564
2022-09-13,97.04%,6207858
2022-07-14,97.039%,5942436
2022-07-15,97.033%,5945278
2022-09-12,97.027%,6204241
2022-07-16,97.008%,5947980
2022-09-11,97.001%,6200776
2022-07-17,96.994%,5950554
2022-09-10,96.988%,6198051
2022-07-18,96.98%,5952981
2022-09-09,96.979%,6194953
2022-07-19,96.942%,5955577
2022-09-08,96.938%,6189607
2022-09-07,96.931%,6186166
2022-09-06,96.93%,6182661
2022-09-05,96.904%,6177525
2022-04-21,96.901%,5855361
2022-07-20,96.891%,5957908
2022-09-04,96.87%,6173081
2022-09-03,96.853%,6169330
2022-07-21,96.853%,5960833
2022-09-02,96.84%,6165328
2022-07-22,96.832%,5964196
2022-09-01,96.825%,6160877
2022-07-23,96.821%,5968304
2022-08-29,96.818%,6147140
2022-08-30,96.812%,6151650
2022-08-31,96.811%,6156034
2022-07-25,96.802%,5975011
2022-07-24,96.801%,5970988
2022-08-28,96.788%,6142438
2022-08-26,96.781%,6134880
2022-08-25,96.76%,6129122
2022-08-27,96.757%,6137394
2022-07-26,96.757%,5978522
2022-08-24,96.748%,6123342
2022-08-23,96.744%,6117792
2022-08-22,96.737%,6112658
2022-07-27,96.719%,5982347
2022-07-28,96.712%,5988052
2022-08-21,96.708%,6107680
2022-08-01,96.702%,6005981
2022-07-29,96.693%,5992537
2022-08-08,96.692%,6042657
2022-07-31,96.686%,6001402
2022-08-02,96.685%,6010545
2022-08-07,96.681%,6037738
2022-08-18,96.68%,6092306
2022-08-19,96.68%,6097334
2022-07-30,96.678%,5996805
2022-08-05,96.674%,6027872
2022-08-20,96.673%,6101636
2022-04-20,96.672%,5840945
2022-08-09,96.672%,6047507
2022-08-16,96.671%,6082732
2022-08-15,96.668%,6076929
2022-08-06,96.667%,6032722
2022-08-04,96.665%,6021549
2022-08-03,96.659%,6014885
2022-08-10,96.659%,6052413
2022-08-17,96.659%,6087056
2022-08-14,96.652%,6072421
2022-08-11,96.651%,6057237
2022-08-13,96.642%,6067518
2022-08-12,96.64%,6062463
2022-04-19,96.607%,5836310
2022-04-18,96.575%,5833560
2021-12-31,96.519%,4114334
2021-12-30,96.519%,4114141
2022-01-02,96.517%,4114689
2022-01-01,96.517%,4114499
2022-01-03,96.514%,4114801
2021-12-27,96.514%,4113320
2021-12-29,96.513%,4113742
2021-12-28,96.512%,4113472
2021-12-26,96.511%,4113049
2022-01-04,96.511%,4114969
2021-12-23,96.511%,4112524
2021-12-24,96.51%,4112706
2021-12-25,96.509%,4112901
2021-12-22,96.508%,4112292
2021-12-16,96.507%,4111045
2021-12-20,96.507%,4111835
2021-12-21,96.507%,4112040
2022-01-05,96.506%,4115149
2021-12-15,96.506%,4110811
2021-12-19,96.505%,4111619
2021-12-17,96.505%,4111250
2021-12-14,96.505%,4110574
2021-12-18,96.505%,4111464
2021-12-13,96.504%,4110327
2021-12-10,96.5%,4109675
2021-12-11,96.499%,4109865
2021-12-12,96.499%,4110049
2022-01-06,96.499%,4115358
2021-12-09,96.497%,4109364
2021-12-08,96.495%,4109068
2021-12-07,96.492%,4108717
2022-01-07,96.492%,4115572
2021-12-06,96.488%,4108297
2022-01-08,96.485%,4115747
2022-01-09,96.478%,4115958
2022-01-10,96.474%,4116202
2022-01-11,96.466%,4116648
2022-01-12,96.459%,4116962
2022-04-17,96.454%,5825729
2022-01-13,96.45%,4117347
2021-12-05,96.444%,4106292
2021-12-04,96.442%,4105994
2021-12-03,96.44%,4105680
2022-01-14,96.439%,4117700
2021-12-02,96.438%,4105352
2021-12-01,96.436%,4104964
2021-11-23,96.435%,4102323
2021-11-30,96.435%,4104657
2021-11-29,96.434%,4104333
2021-11-22,96.433%,4101889
2021-11-24,96.433%,4102700
2021-11-25,96.432%,4102993
2021-11-26,96.431%,4103379
2021-11-21,96.43%,4101547
2021-11-19,96.429%,4100837
2021-11-20,96.429%,4101216
2021-11-28,96.428%,4103914
2021-11-27,96.428%,4103639
2022-01-15,96.426%,4118164
2021-11-18,96.425%,4100321
2021-11-16,96.424%,4099399
2022-01-16,96.424%,4118874
2021-11-17,96.423%,4099857
2022-01-17,96.42%,4119472
2021-11-15,96.42%,4098884
2022-04-16,96.418%,5822947
2021-11-14,96.408%,4098178
2021-11-13,96.404%,4097675
2022-01-18,96.403%,4120036
2021-11-12,96.402%,4097224
2021-11-11,96.398%,4096664
2021-11-10,96.396%,4096194
2021-11-09,96.395%,4095663
2021-11-08,96.391%,4095078
2022-04-15,96.382%,5820179
2022-01-19,96.375%,4120540
2021-11-07,96.366%,4093795
2021-11-06,96.362%,4093208
2022-04-14,96.359%,5817904
2021-11-05,96.357%,4092586
2021-11-04,96.353%,4091938
2021-11-03,96.348%,4091101
2021-11-02,96.347%,4090287
2022-01-20,96.341%,4121117
2021-11-01,96.34%,4089419
2021-10-30,96.331%,4088138
2021-10-31,96.331%,4088635
2021-10-29,96.329%,4087440
2021-10-28,96.328%,4086759
2021-10-27,96.322%,4085775
2022-04-13,96.319%,5814688
2021-10-26,96.316%,4084831
2021-10-25,96.303%,4083690
2022-01-21,96.301%,4121928
2022-04-12,96.294%,5811666
2021-10-24,96.284%,4082454
2021-10-23,96.274%,4081417
2021-10-22,96.267%,4080351
2022-04-11,96.262%,5808380
2021-10-21,96.255%,4079120
2022-01-22,96.244%,4122555
2021-10-20,96.237%,4077748
2021-10-19,96.229%,4076541
2022-04-10,96.216%,5804402
2021-10-18,96.213%,4075011
2022-01-23,96.195%,4123267
2022-04-09,96.191%,5801909
2021-10-17,96.19%,4073418
2021-10-16,96.181%,4072332
2021-10-15,96.168%,4070807
2021-10-14,96.156%,4069399
2022-04-08,96.151%,5798044
2022-01-24,96.151%,4124211
2021-10-13,96.139%,4067684
2022-04-07,96.122%,5794602
2021-10-12,96.114%,4065425
2021-10-11,96.092%,4063295
2022-01-25,96.062%,4125080
2022-04-06,96.057%,5788714
2021-10-10,96.048%,4060851
2021-10-09,96.031%,4059267
2021-10-08,96.022%,4057760
2022-04-05,96.006%,5783299
2021-10-07,95.97%,4054246
2022-01-26,95.966%,4127662
2021-10-06,95.956%,4052300
2021-10-05,95.922%,4049449
2022-04-04,95.922%,5776058
2021-10-04,95.893%,4046891
2021-10-03,95.851%,4044235
2021-10-02,95.829%,4042215
2022-04-03,95.826%,5768703
2022-01-27,95.824%,4129305
2021-10-01,95.805%,4039835
2022-04-02,95.789%,5764636
2021-09-30,95.775%,4037024
2021-09-29,95.746%,4034176
2022-04-01,95.746%,5759838
2021-09-28,95.717%,4031099
2021-09-27,95.68%,4027548
2022-01-28,95.651%,4131333
2022-03-31,95.642%,5750802
2021-09-26,95.622%,4023777
2021-09-25,95.591%,4020801
2022-03-30,95.564%,5742931
2021-09-24,95.551%,4017055
2021-09-23,95.499%,4012448
2022-03-29,95.494%,5735055
2021-09-22,95.46%,4008062
2022-01-29,95.455%,4133923
2021-09-21,95.394%,4002706
2022-03-28,95.388%,5724963
2021-09-20,95.312%,3996125
2022-03-27,95.261%,5714662
2022-01-30,95.256%,4137164
2021-09-19,95.193%,3989326
2022-01-31,95.109%,4140454
2022-03-26,95.101%,5702163
2021-09-18,95.096%,3983140
2021-09-17,95.004%,3976064
2022-03-25,94.985%,5691220
2021-09-16,94.902%,3968152
2022-02-01,94.835%,4143694
2022-03-24,94.817%,5676510
2021-09-15,94.623%,3953519
2022-03-23,94.603%,5658238
2022-02-02,94.564%,4148804
2021-09-14,94.448%,3942473
2022-03-22,94.383%,5639029
2021-09-13,94.272%,3931227
2022-02-03,94.117%,4154797
2021-09-12,94.031%,3918753
2022-03-21,94.013%,5609945
2021-09-11,93.891%,3909352
2021-09-10,93.821%,3901766
2022-03-20,93.737%,5589057
2021-09-09,93.597%,3887410
2022-02-04,93.597%,4161987
2022-03-19,93.565%,5573228
2021-09-08,93.475%,3876760
2021-09-07,93.34%,3864848
2022-03-18,93.286%,5549220
2021-09-06,93.16%,3850689
2022-02-05,93.126%,4172458
2022-03-17,93.001%,5523393
2021-09-05,92.943%,3837640
2021-09-04,92.818%,3827449
2022-03-16,92.696%,5494606
2021-09-03,92.634%,3813643
2022-02-06,92.617%,4183027
2021-09-02,92.432%,3798099
2022-03-15,92.355%,5462344
2022-02-07,92.273%,4191604
2021-05-18,92.221%,1612239
2021-05-19,92.214%,1616603
2021-05-20,92.192%,1621572
2021-05-21,92.151%,1626142
2021-05-17,92.12%,1606611
2021-09-01,92.116%,3776891
2022-03-14,92.112%,5434729
2021-06-03,92.078%,1691593
2021-06-04,92.077%,1697543
2021-05-22,92.065%,1629495
2021-05-16,92.016%,1600857
2021-05-23,91.991%,1633045
2021-05-24,91.98%,1638279
2021-06-05,91.978%,1701784
2021-05-15,91.961%,1597067
2021-08-31,91.948%,3760497
2021-05-25,91.932%,1642074
2021-06-06,91.915%,1705971
2021-06-08,91.871%,1717370
2021-06-07,91.87%,1711565
2021-05-26,91.851%,1645263
2021-05-14,91.847%,1592886
2021-06-09,91.806%,1723253
2021-08-30,91.774%,3743716
2021-05-13,91.767%,1589079
2022-02-08,91.752%,4202312
2021-05-27,91.749%,1649187
2021-05-28,91.749%,1654557
2021-06-02,91.742%,1680501
2021-05-29,91.715%,1659974
2021-05-12,91.707%,1584878
2021-05-11,91.681%,1580207
2021-06-01,91.676%,1674479
2021-06-10,91.674%,1728914
2021-05-30,91.628%,1663998
2021-05-31,91.624%,1669119
2021-05-10,91.623%,1574615
2021-06-11,91.611%,1735144
2022-03-13,91.596%,5395433
2021-06-12,91.53%,1740436
2021-05-09,91.515%,1568277
2021-05-07,91.477%,1558423
2021-05-06,91.47%,1552532
2021-05-08,91.47%,1563917
2021-05-05,91.454%,1547092
2021-08-29,91.421%,3724318
2021-05-04,91.388%,1541149
2022-03-12,91.336%,5369579
2021-06-13,91.301%,1745091
2021-05-03,91.289%,1535491
2021-05-01,91.278%,1526978
2021-04-30,91.265%,1522634
2021-05-02,91.262%,1530718
2021-04-29,91.254%,1517432
2021-06-14,91.232%,1751234
2021-04-28,91.212%,1511417
2021-04-27,91.21%,1506599
2021-08-28,91.183%,3707850
2021-06-15,91.178%,1757641
2021-04-24,91.174%,1492322
2021-04-26,91.171%,1501715
2021-04-25,91.161%,1496126
2022-02-09,91.126%,4216328
2021-04-23,91.124%,1487369
2021-04-22,91.065%,1481449
2021-04-21,91.046%,1475456
2021-06-16,91.031%,1763870
2022-03-11,90.993%,5335846
2021-08-27,90.95%,3689256
2021-04-20,90.915%,1468142
2021-06-17,90.819%,1771220
2021-04-19,90.811%,1461414
2021-08-26,90.757%,3669966
2022-02-10,90.722%,4234510
2021-04-18,90.695%,1455065
2021-04-17,90.65%,1450192
2021-06-18,90.621%,1779127
2022-03-10,90.573%,5296634
2021-04-16,90.563%,1444229
2021-04-15,90.493%,1438254
2021-04-14,90.444%,1431892
2021-04-13,90.404%,1426145
2021-08-25,90.39%,3639867
2021-06-19,90.384%,1786143
2021-04-12,90.328%,1419796
2022-02-11,90.277%,4250277
2021-04-11,90.269%,1414507
2022-03-09,90.246%,5258235
2021-04-09,90.214%,1405659
2021-04-10,90.173%,1409288
2021-04-08,90.115%,1399382
2022-03-08,90.109%,5226530
2021-06-20,90.081%,1792528
2020-04-16,9.935%,548
2021-08-24,89.97%,3606164
2021-04-07,89.942%,1391742
2022-02-12,89.914%,4282847
2021-06-21,89.888%,1801761
2021-04-06,89.851%,1385973
2021-04-05,89.838%,1381677
2021-06-22,89.694%,1810136
2021-04-04,89.677%,1375877
2022-02-13,89.641%,4309763
2022-03-07,89.624%,5171402
